년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),"최대(시간별, kw)","최소(시간별, kw)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018-01-15,1,406.96,17,72.96,0,72.96,0.08,0,0,0,0,0,0,0,0.08,4.8,34.4,58.88,70.88,72.96,65.36,51.84,32.96,14.48,0.32,0,0,0,0,0,0
2018-01-16,1,19.6,1,4.96,0,4.96,0.16,0,0,0,0,0,0,0,0,0.88,2.08,1.92,2.64,2.8,4.96,2.24,1.92,0.16,0,0,0,0,0,0,0
2018-01-17,1,63.52,3,22.24,0,22.24,0.4,0,0,0,0,0,0,0,0,0.64,2.8,6,7.36,7.36,22.24,16.16,0.4,0.56,0,0,0,0,0,0,0
2018-01-18,1,374.96,16,68.16,0,68.16,0.16,0,0,0,0,0,0,0,0.16,6.72,31.36,48.96,66.64,68.16,64.4,49.76,27.6,10.4,0.8,0,0,0,0,0,0
2018-01-19,1,456.64,19,78.8,0,78.8,0.16,0,0,0,0,0,0,0,0.16,7.36,40.48,61.76,74.56,78.8,74,62.56,40.96,14.96,1.04,0,0,0,0,0,0
2018-01-20,1,437.52,18,76.08,0,76.08,0.16,0,0,0,0,0,0,0,0.16,7.68,39.92,63.6,76.08,75.36,72,54.48,34.72,12.4,1.12,0,0,0,0,0,0
2018-01-21,1,364.64,15,62.8,0,62.8,0.32,0,0,0,0,0,0,0,0.32,9.12,37.6,57.28,62.8,62.8,54.16,44.4,28.8,6.72,0.64,0,0,0,0,0,0
2018-01-22,1,178.08,7,31.04,0,31.04,0.08,0,0,0,0,0,0,0,0.08,2.72,11.92,27.92,27.92,15.44,17.12,28.16,31.04,14.72,1.04,0,0,0,0,0,0
2018-01-23,1,517.92,22,89.04,0,89.04,0.32,0,0,0,0,0,0,0,0.32,9.28,42.24,66.16,83.6,89.04,83.2,70.56,48.88,23.52,1.12,0,0,0,0,0,0
2018-01-24,1,536.56,22,94,0,94,0.64,0,0,0,0,0,0,0,0.64,12.16,56.16,80.96,94,90.08,67.36,61.76,51.28,20.48,1.68,0,0,0,0,0,0
2018-01-25,1,568.64,24,94.88,0,94.88,0.56,0,0,0,0,0,0,0,0.88,13.68,55.92,79.76,93.04,94.88,87.52,71.6,51.6,19.2,0.56,0,0,0,0,0,0
2018-01-26,1,584.32,24,95.36,0,95.36,0.8,0,0,0,0,0,0,0,0.8,13.36,56.48,80.4,93.84,95.36,89.36,74.72,53.04,25.12,1.84,0,0,0,0,0,0
2018-01-27,1,538.72,22,89.52,0,89.52,0.8,0,0,0,0,0,0,0,0.8,10.48,53.36,74.64,87.52,89.52,81.92,67.92,48.48,22.32,1.76,0,0,0,0,0,0
2018-01-28,1,448.72,19,87.52,0,87.52,1.44,0,0,0,0,0,0,0,0,3.36,13.28,51.36,81.2,87.52,75.28,66.4,47.12,21.76,1.44,0,0,0,0,0,0
2018-01-29,1,526.4,22,88.24,0,88.24,0.88,0,0,0,0,0,0,0,0.88,12.88,49.52,70.8,86.08,88.24,79.2,67.12,46.56,23.12,2,0,0,0,0,0,0
2018-01-30,1,506.08,21,88.72,0,88.72,0.64,0,0,0,0,0,0,0,0.64,9.52,56.24,78.8,81.76,80.4,88.72,64.8,28.88,14.8,1.52,0,0,0,0,0,0
2018-01-31,1,333.36,14,66.4,0,66.4,0.4,0,0,0,0,0,0,0,0.4,10.88,35.04,61.04,66.4,59.76,44.16,35.44,15.52,4.72,0,0,0,0,0,0,0
2018-02-01,1,525.12,22,88.96,0,88.96,0.48,0,0,0,0,0,0,0,0.48,11.12,46,67.28,83.6,88.96,83.04,69.28,49.2,23.92,2.24,0,0,0,0,0,0
2018-02-02,1,335.28,14,73.68,0,73.68,0.8,0,0,0,0,0,0,0,0.8,10,31.76,47.2,73.68,61.12,48.72,35.6,17.68,7.92,0.8,0,0,0,0,0,0
2018-02-03,1,523.36,22,89.36,0,89.36,0.64,0,0,0,0,0,0,0,0.64,11.84,48.16,70.88,81.52,61.92,89.36,74.56,53.92,27.44,3.12,0,0,0,0,0,0
2018-02-04,1,599.44,25,98.24,0,98.24,0.72,0,0,0,0,0,0,0,0.72,13.52,56.96,80.56,95.36,98.24,92.24,76.32,54.96,27.36,3.2,0,0,0,0,0,0
2018-02-05,1,582.16,24,95.6,0,95.6,1.04,0,0,0,0,0,0,0,1.04,18.4,59.12,81.76,94.72,95.6,87.36,69.92,47.52,24.4,2.32,0,0,0,0,0,0
2018-02-06,1,608.48,25,98.88,0,98.88,1.2,0,0,0,0,0,0,0,1.2,19.12,58.16,82.24,96.4,98.88,91.12,75.12,54.32,28.32,3.6,0,0,0,0,0,0
2018-02-07,1,610.4,25,97.12,0,97.12,1.92,0,0,0,0,0,0,0,1.92,20.72,58.32,83.52,94.64,97.12,91.52,76.16,54.8,27.92,3.76,0,0,0,0,0,0
2018-02-08,1,507.68,21,82.72,0,82.72,0.8,0,0,0,0,0,0,0,0.8,15.04,48.08,68.8,81.76,82.72,76.8,64,44.16,22.32,3.2,0,0,0,0,0,0
2018-02-09,1,370.88,15,81.68,0,81.68,1.92,0,0,0,0,0,0,0,0,6.88,33.52,60.4,62,81.68,28.24,52.72,34,9.52,1.92,0,0,0,0,0,0
2018-02-10,1,273.92,11,61.44,0,61.44,0.08,0,0,0,0,0,0,0,0.08,2.4,5.6,10.8,27.52,55.76,61.44,58.96,36.96,12.88,1.52,0,0,0,0,0,0
2018-02-11,1,433.92,18,73.28,0,73.28,1.28,0,0,0,0,0,0,0,1.28,19.12,54.16,73.28,45.92,63.92,54.16,62,42.4,15.44,2.24,0,0,0,0,0,0
2018-02-12,1,596.8,25,97.44,0,97.44,1.2,0,0,0,0,0,0,0,1.2,23.12,58.08,80.56,94.72,97.44,90.32,75.68,52.88,19.04,3.76,0,0,0,0,0,0
2018-02-13,1,584.24,24,93.52,0,93.52,1.2,0,0,0,0,0,0,0,1.2,17.44,54.48,78.16,92.72,93.52,87.68,73.52,53.04,27.92,4.56,0,0,0,0,0,0
2018-02-14,1,442.88,18,80.72,0,80.72,1.6,0,0,0,0,0,0,0,1.6,19.04,47.84,68.16,79.2,80.72,71.68,34.16,25.52,13.36,1.6,0,0,0,0,0,0
2018-02-15,1,342.48,14,79.44,0,79.44,0.96,0,0,0,0,0,0,0,0.96,8.48,19.04,25.28,54.56,79.44,64.64,42.48,26.64,17.84,3.12,0,0,0,0,0,0
2018-02-16,1,305.92,13,61.92,0,61.92,0.72,0,0,0,0,0,0,0,0.72,10.24,27.28,51.6,61.92,53.04,47.2,29.04,13.92,8.4,2.56,0,0,0,0,0,0
2018-02-17,1,589.84,25,89.92,0,89.92,1.28,0,0,0,0,0,0,0,1.28,25.84,57.28,81.04,89.92,80.56,89.12,75.6,55.52,29.68,4,0,0,0,0,0,0
2018-02-18,1,400.08,17,78.24,0,78.24,1.44,0,0,0,0,0,0,0,1.44,24.48,53.28,74.16,78.24,68.08,46.72,27.04,16.24,8.56,1.84,0,0,0,0,0,0
2018-02-19,1,300.08,13,53.92,0,53.92,1.12,0,0,0,0,0,0,0,1.12,12.96,26.72,50.72,50,53.92,46.48,32.4,15.28,9.12,1.36,0,0,0,0,0,0
2018-02-20,1,487.76,20,81.44,0,81.44,1.92,0,0,0,0,0,0,0,1.92,23.12,51.6,70.16,80.8,81.44,68.4,53.76,38.24,15.44,2.88,0,0,0,0,0,0
2018-02-21,1,396.16,17,60.96,0,60.96,1.76,0,0,0,0,0,0,0,1.76,13.12,51.84,53.84,60.96,51.12,60.56,43.52,37.76,18,3.68,0,0,0,0,0,0
2018-02-22,1,523.92,22,87.52,0,87.52,3.2,0,0,0,0,0,0,0,3.2,20.08,46.48,73.92,84.56,87.52,68.8,61.28,47.12,25.28,5.68,0,0,0,0,0,0
2018-02-23,1,504.16,21,86.88,0,86.88,2.48,0,0,0,0,0,0,0,2.48,19.36,41.6,63.04,84.24,86.88,77.92,63.6,41.92,19.2,3.92,0,0,0,0,0,0
2018-02-24,1,464,19,69.6,0,69.6,2.4,0,0,0,0,0,0,0,2.4,22,47.84,69.28,63.04,64.56,69.6,57.04,44.72,20.56,2.96,0,0,0,0,0,0
2018-02-25,1,370.48,15,69.92,0,69.92,1.44,0,0,0,0,0,0,0,1.44,9.52,31.04,57.84,69.92,53.04,57.52,50.96,19.76,16.64,2.8,0,0,0,0,0,0
2018-02-26,1,552.72,23,84.08,0,84.08,0.08,0,0,0,0,0,0,0,2.64,26.96,54.08,73.52,82.16,84.08,80.16,67.12,48.8,26.96,6.16,0.08,0,0,0,0,0
2018-02-27,1,449.36,19,74.48,0,74.48,3.04,0,0,0,0,0,0,0,3.04,22.72,45.12,64.56,71.76,74.48,60.4,51.52,31.04,19.28,5.44,0,0,0,0,0,0
2018-02-28,1,61.04,3,21.36,0,21.36,0.08,0,0,0,0,0,0,0,0.08,2.24,21.36,17.2,10.8,5.12,3.52,0.72,0,0,0,0,0,0,0,0,0
2018-03-01,1,551.44,23,98.16,0,98.16,3.76,0,0,0,0,0,0,0,3.76,17.6,6.24,67.76,90.96,98.16,91.76,77.52,58,32.96,6.72,0,0,0,0,0,0
2018-03-02,1,620.72,26,95.44,0,95.44,3.68,0,0,0,0,0,0,0,3.68,29.92,59.44,80.72,92.72,95.44,84.72,76.16,56.88,33.12,7.92,0,0,0,0,0,0
2018-03-03,1,369.36,15,74.56,0,74.56,3.68,0,0,0,0,0,0,0,3.68,14.96,20.16,30.32,34.24,36.56,74.56,66.72,50.96,29.92,7.28,0,0,0,0,0,0
2018-03-04,1,160.08,7,25.04,0,25.04,1.44,0,0,0,0,0,0,0,4.64,12.24,14.48,25.04,23.6,24.88,19.28,22.48,7.76,4.24,1.44,0,0,0,0,0,0
2018-03-05,1,58.64,2,11.28,0,11.28,0.08,0,0,0,0,0,0,0,0,0.08,1.52,4.24,10.32,7.84,8.64,6.48,5.28,11.28,2.96,0,0,0,0,0,0
2018-03-06,1,559.6,23,85.28,0,85.28,0.16,0,0,0,0,0,0,0,3.04,17.12,36.96,84,80.72,80.32,85.28,73.52,56.8,33.12,8.56,0.16,0,0,0,0,0
2018-03-07,1,183.76,8,37.76,0,37.76,2.64,0,0,0,0,0,0,0,0,4.32,24.16,16.24,22.8,18.4,20,37.76,26.64,10.8,2.64,0,0,0,0,0,0
2018-03-08,1,56.8,2,19.36,0,19.36,0.32,0,0,0,0,0,0,0,0,1.28,2.4,4.88,7.92,10.88,19.36,8.56,1.2,0.32,0,0,0,0,0,0,0
2018-03-09,1,231.44,10,61.28,0,61.28,0.08,0,0,0,0,0,0,0,3.44,10.88,32.4,24.8,61.28,26.8,24.32,18.08,14.16,11.84,3.36,0.08,0,0,0,0,0
2018-03-10,1,493.6,21,89.28,0,89.28,0.24,0,0,0,0,0,0,0,7.12,28.56,25.36,50.88,58,64.96,89.28,73.6,55.76,31.44,8.4,0.24,0,0,0,0,0
2018-03-11,1,604.8,25,92.4,0,92.4,0.08,0,0,0,0,0,0,0.08,7.76,30.96,60.48,81.68,92.4,89.76,80.48,69.84,52.72,30.32,8.08,0.24,0,0,0,0,0
2018-03-12,1,571.12,24,89.12,0,89.12,0.08,0,0,0,0,0,0,0.08,7.2,28.32,51.36,68.96,86.24,89.12,81.92,68.96,51.68,29.2,8,0.08,0,0,0,0,0
2018-03-13,1,588.96,25,88.56,0,88.56,0.08,0,0,0,0,0,0,0.08,8.08,30.32,56.56,74.16,84.64,88.56,83.52,70.64,52.64,31.12,8.32,0.32,0,0,0,0,0
2018-03-14,1,559.44,23,85.36,0,85.36,0.08,0,0,0,0,0,0,0.08,7.92,28.32,51.44,73.84,82.8,85.36,78.32,66.4,50.48,28.64,5.6,0.24,0,0,0,0,0
2018-03-15,1,17.04,1,4.32,0,4.32,0.16,0,0,0,0,0,0,0,0.32,4.32,4,3.2,0.24,0.32,0.24,0.48,2.4,1.36,0.16,0,0,0,0,0,0
2018-03-16,1,409.44,17,87.28,0,87.28,0.16,0,0,0,0,0,0,0,0.16,2.64,9.28,22.96,32.24,73.76,87.28,76,59.36,35.28,10.08,0.4,0,0,0,0,0
2018-03-17,1,597.36,25,92,0,92,0.24,0,0,0,0,0,0,0.24,7.04,30.24,59.6,83.36,92,60.72,87.2,76.56,58.48,31.52,9.92,0.48,0,0,0,0,0
2018-03-18,1,295.92,12,50.96,0,50.96,0.48,0,0,0,0,0,0,0.48,9.76,22.08,39.92,33.2,46.72,38,50.96,26,16.24,11.6,0.96,0,0,0,0,0,0
2018-03-19,1,85.12,4,18.88,0,18.88,0.24,0,0,0,0,0,0,0,0,2.08,3.2,9.28,16.72,18.88,13.68,7.28,8.48,5.28,0.24,0,0,0,0,0,0
2018-03-20,1,301.68,13,65.92,0,65.92,0.08,0,0,0,0,0,0,0.08,5.28,16.08,35.36,51.76,61.76,65.92,36.72,13.44,10.32,4.32,0.64,0,0,0,0,0,0
2018-03-21,1,111.92,5,19.84,0,19.84,1.76,0,0,0,0,0,0,0,1.76,3.76,4,6.88,13.2,19.84,10,16.08,17.12,14.96,4.32,0,0,0,0,0,0
2018-03-22,1,555.44,23,98,0,98,0.08,0,0,0,0,0,0,0.08,7.68,15.44,24.4,52.56,91.92,98,88.88,75.44,56.48,33.76,10.08,0.72,0,0,0,0,0
2018-03-23,1,620.8,26,86.48,0,86.48,0.48,0,0,0,0,0,0,0.48,11.76,33.84,59.6,80.56,86.24,86.48,86.32,75.36,56.72,32.88,9.92,0.64,0,0,0,0,0
2018-03-24,1,559.36,23,83.84,0,83.84,0.16,0,0,0,0,0,0,0.16,10.96,26.24,52.16,74.32,83.84,82.32,78,67.28,48.4,26.96,8.32,0.4,0,0,0,0,0
2018-03-25,1,592.96,25,88,0,88,0.56,0,0,0,0,0,0,0.72,12.16,33.36,59.36,77.04,88,82.64,79.04,68.32,52.24,30.4,9.12,0.56,0,0,0,0,0
2018-03-26,1,566.16,24,81.6,0,81.6,0.48,0,0,0,0,0,0,0.64,12.08,34.4,58.48,73.92,81.6,77.6,73.92,63.92,50.64,29.52,8.96,0.48,0,0,0,0,0
2018-03-27,1,569.36,24,81.52,0,81.52,0.72,0,0,0,0,0,0,0.8,12.24,32.24,57.6,72.24,79.6,81.52,76.48,68,50.48,28.88,8.56,0.72,0,0,0,0,0
2018-03-28,1,586.72,24,85.52,0,85.52,0.72,0,0,0,0,0,0,0.72,12.16,33.68,57.76,76.88,85.52,83.92,76.4,68.96,51.44,29.68,8.88,0.72,0,0,0,0,0
2018-03-29,1,495.84,21,72.56,0,72.56,0.56,0,0,0,0,0,0,0.88,10,27.2,44.88,62.32,69.68,72.56,71.68,59.76,43.68,24.4,8.24,0.56,0,0,0,0,0
2018-03-30,1,580.8,24,82.4,0,82.4,0.88,0,0,0,0,0,0,0.96,12.4,32.16,56.88,73.6,81.84,82.4,76.72,68.64,52.64,31.68,10,0.88,0,0,0,0,0
2018-03-31,1,537.28,22,76.32,0,76.32,0.72,0,0,0,0,0,0,1.2,11.76,30.8,51.2,68.8,74.72,72.88,76.32,64.72,47.52,27.36,9.28,0.72,0,0,0,0,0
2018-04-01,1,439.6,18,70.64,0,70.64,0.56,0,0,0,0,0,0,1.28,10.16,28.48,47.2,62.24,70.64,64.72,59.44,36.4,32.48,19.6,6.4,0.56,0,0,0,0,0
2018-04-02,1,548.16,23,81.44,0,81.44,0.64,0,0,0,0,0,0,1.36,12.56,31.84,53.84,66.4,78.88,81.44,72.56,63.92,47.6,28.32,8.8,0.64,0,0,0,0,0
2018-04-03,1,546.32,23,77.68,0,77.68,0.56,0,0,0,0,0,0,1.12,12.16,31.68,51.44,71.6,77.68,77.52,74.64,63.76,48.72,28.56,6.88,0.56,0,0,0,0,0
2018-04-04,1,85.44,4,15.84,0,15.84,0.72,0,0,0,0,0,0,0.72,7.52,6.24,10.72,10.72,3.84,3.6,13.28,15.84,8.08,3.84,1.04,0,0,0,0,0,0
2018-04-05,1,163.44,7,36.24,0,36.24,0.48,0,0,0,0,0,0,0,0.48,4.64,11.28,16.16,36.24,25.52,23.12,20.48,16.32,7.2,2,0,0,0,0,0,0
2018-04-06,1,351.6,15,81.6,0,81.6,0.32,0,0,0,0,0,0,0,0.32,1.6,3.2,12.72,20.8,72.56,81.6,69.6,46.48,31.28,10.4,1.04,0,0,0,0,0
2018-04-07,1,509.68,21,88,0,88,0.96,0,0,0,0,0,0,2,14.64,31.92,40.8,67.04,69.36,88,78,35.84,33.04,36.88,11.2,0.96,0,0,0,0,0
2018-04-08,1,604.24,25,90.48,0,90.48,0.96,0,0,0,0,0,0,2.32,16.72,39.76,66.56,82.56,70.48,90.48,85.92,72.64,46.32,18.24,11.28,0.96,0,0,0,0,0
2018-04-09,1,576.88,24,81.36,0,81.36,0.72,0,0,0,0,0,0,0.72,11.6,32.16,61.6,76.72,81.36,81.12,69.68,65.6,53.36,31.76,10.32,0.88,0,0,0,0,0
2018-04-10,1,383.28,16,62.08,0,62.08,0.4,0,0,0,0,0,0,1.52,11.92,22.8,42.08,62.08,45.36,30.4,57.12,32.48,40.88,30.96,5.28,0.4,0,0,0,0,0
2018-04-11,1,538.8,22,74.4,0,74.4,0.08,0,0,0,0,0,0,0.08,7.44,30,54.8,72.32,70.72,68.08,74.4,68.32,51.12,29.68,10.96,0.88,0,0,0,0,0
2018-04-12,1,418.72,17,69.36,0,69.36,0.64,0,0,0,0,0,0,1.52,16.08,30.72,34.72,50.08,69.36,59.68,53.44,44.24,31.36,19.44,7.44,0.64,0,0,0,0,0
2018-04-13,1,348.24,15,56,0,56,0.72,0,0,0,0,0,0,3.6,17.12,31.36,52.32,46.4,56,44.24,27.12,24.72,24.08,14.8,5.76,0.72,0,0,0,0,0
2018-04-14,1,23.68,1,6.56,0,6.56,0.08,0,0,0,0,0,0,0,0.08,0.88,0.88,1.84,2.72,2.4,0.8,1.04,2.88,3.36,6.56,0.24,0,0,0,0,0
2018-04-15,1,609.68,25,86.8,0,86.8,0.88,0,0,0,0,0,0,3.12,16.4,39.28,63.36,83.84,86.8,82.96,78,64.64,49.84,29.44,11.12,0.88,0,0,0,0,0
2018-04-16,1,540.64,23,75.84,0,75.84,1.68,0,0,0,0,0,0,3.52,16.56,38,60.32,65.04,67.92,75.84,65.52,57.84,49.2,28.4,10.8,1.68,0,0,0,0,0
2018-04-17,1,494.64,21,71.68,0,71.68,1.04,0,0,0,0,0,0,1.44,11.28,23.36,44.64,52,66.8,56.56,71.68,68.88,54.48,31.36,11.12,1.04,0,0,0,0,0
2018-04-18,1,601.12,25,81.92,0,81.92,1.6,0,0,0,0,0,0,3.36,16.64,37.52,58.16,74.24,79.76,81.92,81.52,70.8,52.64,32,10.96,1.6,0,0,0,0,0
2018-04-19,1,616.08,26,87.28,0,87.28,0.96,0,0,0,0,0,0,2.8,16.88,38.48,62.32,78.32,87.28,86.96,78.56,69.6,52.8,30.48,10.64,0.96,0,0,0,0,0
2018-04-20,1,531.36,22,74.64,0,74.64,0.96,0,0,0,0,0,0,3.04,15.84,34.32,53.28,63.44,72.96,74.64,68.08,60.56,46.56,27.84,9.84,0.96,0,0,0,0,0
2018-04-21,1,570.96,24,78.4,0,78.4,1.52,0,0,0,0,0,0,3.44,16.4,36.16,59.84,77.84,78.4,76.4,72.4,62.64,48.96,24.56,12.4,1.52,0,0,0,0,0
2018-04-22,1,216.64,9,40.24,0,40.24,0.72,0,0,0,0,0,0,3.84,2.08,8.08,20.8,27.6,27.04,17.92,11.52,31.6,40.24,19.36,5.84,0.72,0,0,0,0,0
2018-04-23,1,41.76,2,11.2,0,11.2,0.24,0,0,0,0,0,0,0.24,0.32,2.48,3.44,3.04,5.36,11.2,3.68,7.28,2.32,1.12,1.28,0,0,0,0,0,0
2018-04-24,1,196.16,8,33.68,0,33.68,0.24,0,0,0,0,0,0,0,0.64,5.84,13.2,20.16,33.68,28.56,28.08,26.88,23.36,9.92,5.6,0.24,0,0,0,0,0
2018-04-25,1,614,26,84.16,0,84.16,1.28,0,0,0,0,0,0,4.56,18.24,40.08,64.16,73.36,83.36,84.16,80.32,69.76,52.48,31.36,10.88,1.28,0,0,0,0,0
2018-04-26,1,574.08,24,81.04,0,81.04,0.96,0,0,0,0,0,0,4,18.16,32,52.24,74.32,81.04,80.24,67.36,68,54,31.12,10.64,0.96,0,0,0,0,0
2018-04-27,1,522.72,22,81.92,0,81.92,1.44,0,0,0,0,0,0,5.28,15.6,28.64,25.84,75.44,81.92,76.24,68.16,57.44,46.96,28.88,10.88,1.44,0,0,0,0,0
2018-04-28,1,599.52,25,85.28,0,85.28,0.08,0,0,0,0,0,0.08,4.72,17.52,38.08,61.04,75.44,79.76,85.28,76.88,66.16,50.8,31.28,11.2,1.28,0,0,0,0,0
2018-04-29,1,579.44,24,81.36,0,81.36,1.6,0,0,0,0,0,0,4.24,18.24,38.48,48.24,72.72,78.48,81.36,74.56,67.12,49.52,31.28,13.6,1.6,0,0,0,0,0
2018-04-30,1,516.48,22,76.4,0,76.4,1.2,0,0,0,0,0,0,4.88,17.84,37.36,50.96,68.16,76.4,58.56,57.12,58.48,46.8,28,10.72,1.2,0,0,0,0,0
2018-05-01,1,307.28,13,62.08,0,62.08,1.28,0,0,0,0,0,0,2.88,13.2,7.2,21.28,42.88,43.68,43.44,62.08,30.64,11.92,19.6,7.2,1.28,0,0,0,0,0
2018-05-02,1,61.6,3,11.84,0,11.84,0.16,0,0,0,0,0,0,0,0.16,1.44,4.96,4.24,10.08,11.84,9.52,7.92,6.88,2.72,1.36,0.48,0,0,0,0,0
2018-05-03,1,604.24,25,88.16,0,88.16,0.08,0,0,0,0,0,0.08,4.8,18.72,42.24,67.6,82.88,88.16,87.6,61.92,75.2,53.76,11.36,8.56,1.36,0,0,0,0,0
2018-05-04,1,648.08,27,88.72,0,88.72,0.08,0,0,0,0,0,0.08,5.2,18.24,40.4,64.8,83.12,88.72,87.84,81.36,73.52,56.56,34.64,11.84,1.76,0,0,0,0,0
2018-05-05,1,560.08,23,73.76,0,73.76,0.16,0,0,0,0,0,0.16,5.76,19.76,42.32,64,71.68,71.36,73.76,67.84,50.08,48.64,30.8,11.44,2.48,0,0,0,0,0
2018-05-06,1,6.88,0,1.44,0,1.44,0.16,0,0,0,0,0,0,0.16,0.32,0.96,0.64,0.56,0.8,1.44,0.48,0,0.16,0.64,0.72,0,0,0,0,0,0
2018-05-07,1,118.56,5,19.84,0,19.84,0.16,0,0,0,0,0,0,0,0.16,1.6,11.04,14,7.36,9.92,15.44,7.12,17.52,19.84,13.28,1.28,0,0,0,0,0
2018-05-08,1,211.52,9,25.6,0,25.6,2.16,0,0,0,0,0,0,2.16,5.76,13.92,25.44,19.6,22.24,20.8,23.6,25.6,22.88,15.68,11.68,2.16,0,0,0,0,0
2018-05-09,1,498.4,21,77.92,0,77.92,2.08,0,0,0,0,0,0,2.08,7.28,19.36,28.88,65.36,77.92,68.96,59.28,62,56.8,35.04,13.36,2.08,0,0,0,0,0
2018-05-10,1,636.64,27,87.76,0,87.76,0.32,0,0,0,0,0,0.32,5.68,20.64,41.52,60.72,80.08,87.76,86.16,81.04,70.08,54.16,33.36,13.28,1.84,0,0,0,0,0
2018-05-11,1,553.04,23,74.96,0,74.96,0.24,0,0,0,0,0,0.24,5.44,18.72,39.12,58.64,69.6,74.96,73.44,64.8,65.12,43.84,22.88,14.64,1.6,0,0,0,0,0
2018-05-12,1,94.56,4,18.8,0,18.8,0.08,0,0,0,0,0,0,0.4,2.32,11.84,18.8,14.64,8.16,10.08,13.44,5.84,4.24,2.64,2.08,0.08,0,0,0,0,0
2018-05-13,1,366.08,15,65.6,0,65.6,0.48,0,0,0,0,0,0,0,0.48,10.4,21.28,30.8,35.36,45.76,65.6,64.16,47.84,30.48,12.16,1.76,0,0,0,0,0
2018-05-14,1,568.72,24,76.96,0,76.96,0.24,0,0,0,0,0,0.24,5.28,18.88,38.56,56.48,69.76,75.76,76.96,71.2,63.76,48.16,29.76,12.32,1.6,0,0,0,0,0
2018-05-15,1,536.32,22,70.72,0,70.72,0.24,0,0,0,0,0,0.24,8.56,20.72,34.4,50.8,67.36,70.72,65.12,70.16,60.64,49.84,23.12,12.56,2.08,0,0,0,0,0
2018-05-16,1,29.84,1,6.56,0,6.56,0.56,0,0,0,0,0,0,0,1.28,5.76,2.08,0.64,1.44,6.56,4,6.24,1.28,0.56,0,0,0,0,0,0,0
2018-05-17,1,24.08,1,7.2,0,7.2,0.08,0,0,0,0,0,0,0.08,0.64,1.68,2.72,4.72,7.2,2.56,1.84,1.44,0.16,0.88,0.16,0,0,0,0,0,0
2018-05-18,1,132.48,6,36,0,36,0.4,0,0,0,0,0,0,0.4,5.6,13.92,36,19.36,6.4,6.48,21.2,16.4,3.36,2.16,1.2,0,0,0,0,0,0
2018-05-19,1,538.24,22,71.76,0,71.76,0.8,0,0,0,0,0,0,0.8,7.28,40.48,64.4,71.76,67.36,65.28,59.84,58.48,45.44,40.72,14.08,2.32,0,0,0,0,0
2018-05-20,1,517.12,22,68.24,0,68.24,0.24,0,0,0,0,0,0.24,5.44,19.44,44.24,52.8,66.48,66.96,60.08,68.24,60.08,43.92,22.8,5.6,0.8,0,0,0,0,0
